altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1002.8804,-541.158,139.8666,461.2078,0.0424,0.0572,0.0
1002.9115,-520.7087,152.4241,461.1238,0.0417,0.0537,0.0
1002.9426,-500.3072,164.5632,460.8068,0.0409,0.0503,0.0
1002.9738,-479.9684,176.2899,460.2646,0.04,0.0469,0.0
1003.005,-459.7064,187.6104,459.5047,0.0392,0.0435,0.0
1003.0362,-439.5348,198.5312,458.5345,0.0384,0.0401,0.0
1003.0675,-419.4666,209.0591,457.3613,0.0376,0.0366,0.0
1003.0988,-399.5143,219.2009,455.9925,0.0368,0.0332,0.0
1003.1301,-379.6895,228.9636,454.435,0.0359,0.0298,0.0
1003.1614,-360.0036,238.3544,452.6959,0.0351,0.0264,0.0
1003.1928,-340.4672,247.3805,450.7821,0.0343,0.023,0.0
1003.2241,-321.0904,256.0494,448.7002,0.0334,0.0196,0.0
1003.2555,-301.8827,264.3685,446.4571,0.0326,0.0163,0.0
1003.287,-282.8532,272.3452,444.059,0.0318,0.0129,0.0
1003.3184,-264.0103,279.987,441.5123,0.031,0.0095,0.0
1003.3498,-245.362,287.3015,438.8233,0.0301,0.0062,0.0
1003.3813,-226.9156,294.2963,435.9981,0.0293,0.0029,0.0
1003.4128,-208.6783,300.9788,433.0424,0.0285,-0.0005,0.0
1003.4443,-190.6564,307.3566,429.9621,0.0277,-0.0038,0.0
1003.4757,-172.8559,313.4372,426.7628,0.0269,-0.0071,0.0
1003.5072,-155.2825,319.2279,423.45,0.0261,-0.0103,0.0
1003.5387,-137.9413,324.736,420.029,0.0253,-0.0136,0.0
1003.5702,-120.8369,329.9689,416.5049,0.0246,-0.0169,0.0
1003.6017,-103.9737,334.9338,412.8829,0.0238,-0.0201,0.0
1003.6332,-87.3555,339.6378,409.1677,0.023,-0.0233,0.0
1003.6647,-70.9859,344.0878,405.3642,0.0223,-0.0265,0.0
1003.6962,-54.8679,348.2908,401.4768,0.0216,-0.0296,0.0
1003.7277,-39.0045,352.2536,397.5101,0.0208,-0.0328,0.0
1003.7592,-23.398,355.9828,393.4684,0.0201,-0.0359,0.0
1003.7906,-8.0506,359.485,389.3559,0.0194,-0.039,0.0
1003.8221,7.0359,362.7666,385.1764,0.0188,-0.0421,0.0
1003.8535,21.8017,365.8494,380.9361,0.0181,-0.0451,0.0
1003.8849,34.9819,369.0731,376.6834,0.0175,-0.0482,0.0
1003.9163,47.839,372.0984,372.3697,0.0168,-0.0512,0.0
1003.9477,60.3738,374.9319,367.9985,0.0162,-0.0542,0.0
1003.979,72.5872,377.5776,363.5738,0.0156,-0.0571,0.0
1004.0104,84.4804,380.0397,359.0993,0.015,-0.0601,0.0
1004.0417,96.0547,382.322,354.5789,0.0145,-0.063,0.0
1004.0729,107.3119,384.4284,350.0161,0.0139,-0.0658,0.0
1004.1042,118.2538,386.3625,345.4142,0.0134,-0.0687,0.0
1004.1354,128.8823,388.1279,340.7768,0.0129,-0.0715,0.0
1004.1666,139.1997,389.7282,336.107,0.0124,-0.0743,0.0
